	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
1471	322093	0	0	0	0	0	0
1472	323013	0	0	0	0	0	0
1473	323014	3	0	0	0	0	0
1474	0	713	0.01107	60	23	0	1
1475	0	1206	0.14915	60	0	0	0
1476	0	703	0.06743	60	37	0	1
1477	323015	2	0	0	0	0	0
1478	0	1206	0.09333	60	0	0	0
1479	0	703	0.03164	60	37	0	1
1480	323016	0	0	0	0	0	0
1481	323939	0	0	0	0	0	0
1482	323940	1	0	0	0	0	0
1483	0	1206	0.02033	60	0	0	0
1484	323941	1	0	0	0	0	0
1485	0	1206	0.05287	60	0	0	0
1486	323942	0	0	0	0	0	0
1487	324866	0	0	0	0	0	0
1488	324867	0	0	0	0	0	0
1489	324868	1	0	0	0	0	0
1490	0	1206	0.02367	60	0	0	0
1491	324869	0	0	0	0	0	0
1492	324870	0	0	0	0	0	0
1493	314678	4	0	0	0	0	0
1494	0	218	0.454	265	0	0	3
1495	0	1208	0.02985	60	0	0	3
1496	0	1206	0.01619	60	0	0	3
1497	0	703	0.01063	60	37	0	3
1498	313747	2	0	0	0	0	0
1499	0	218	0.352	265	0	0	3
1500	0	1208	0.1294	60	0	0	3
1501	315612	3	0	0	0	0	0
1502	0	1206	0.0104	60	23	0	1
1503	0	1403	0.01111	1	43	1	1
1504	0	210	0.011	60	23	0	1
1505	314680	2	0	0	0	0	0
1506	0	218	0.827	265	0	0	0
1507	0	1208	0.08003	60	0	0	0
1508	314685	2	0	0	0	0	0
1509	0	1206	0.01086	60	23	0	2
1510	0	1403	0.01272	1	43	1	2
1511	313757	2	0	0	0	0	0
1512	0	218	0.092	265	0	0	0
1513	0	1208	0.49677	60	0	0	0
